board_id,fe_id,channel,tac,tdc,a,b,c,chi2,d,dof
57,0,0,0,0,-2.8777620792388916,-161.04249572753906,359.6258239746094,1216.3677978515625,0.4107142984867096,220.0
57,0,0,0,1,-4.141712188720703,-154.91802978515625,343.6391296386719,1511.4532470703125,0.39303669333457947,220.0
57,0,0,1,0,-3.649700880050659,-160.7153778076172,353.2648620605469,1458.3001708984375,0.4109881520271301,220.0
57,0,0,1,1,-4.438723564147949,-154.62562561035156,342.55645751953125,1601.75048828125,0.3928709030151367,220.0
57,0,0,2,0,-3.0216825008392334,-161.14288330078125,351.4056091308594,1415.8929443359375,0.4107142984867096,220.0
57,0,0,2,1,-3.73062801361084,-154.98216247558594,343.95233154296875,1546.3173828125,0.3928571343421936,220.0
57,0,0,3,0,-2.932560443878174,-161.48788452148438,351.5289611816406,1367.186767578125,0.41075584292411804,220.0
57,0,0,3,1,-4.598143577575684,-154.5083465576172,344.2701721191406,1613.536865234375,0.3932848870754242,220.0
57,0,1,0,0,-3.2640233039855957,-165.9818572998047,369.8440856933594,1421.628173828125,0.4107244908809662,220.0
57,0,1,0,1,-1.9811524152755737,-161.35499572753906,346.4675598144531,1395.1558837890625,0.3931046426296234,220.0
57,0,1,1,0,-2.7518041133880615,-166.09457397460938,363.1182556152344,1328.0103759765625,0.4107142984867096,220.0
57,0,1,1,1,-2.636418581008911,-160.12802124023438,347.5592956542969,1388.5596923828125,0.3928571343421936,220.0
57,0,1,2,0,-2.7825615406036377,-165.92124938964844,361.3284912109375,1321.2513427734375,0.41073235869407654,220.0
57,0,1,2,1,-1.8150943517684937,-162.05032348632813,346.0013732910156,1238.1641845703125,0.3928571343421936,220.0
57,0,1,3,0,-2.768035411834717,-166.92098999023438,360.4300537109375,1549.2130126953125,0.41071435809135437,220.0
57,0,1,3,1,-2.060915470123291,-161.34451293945313,346.1195373535156,1311.9403076171875,0.3928571343421936,220.0
57,0,10,0,0,-1.2141528129577637,-161.9598846435547,357.7705993652344,1382.1531982421875,0.4107142984867096,220.0
57,0,10,0,1,-2.01621150970459,-161.97682189941406,352.92034912109375,1605.34375,0.3928571343421936,220.0
57,0,10,1,0,-3.107553243637085,-157.97665405273438,348.0691833496094,1241.6248779296875,0.4111585319042206,220.0
57,0,10,1,1,-1.7671983242034912,-162.05294799804688,353.6335144042969,1609.3787841796875,0.39299213886260986,220.0
57,0,10,2,0,-2.783233880996704,-159.4939727783203,348.55523681640625,1338.9207763671875,0.4108108878135681,220.0
57,0,10,2,1,-0.7384210228919983,-162.37814331054688,351.6921691894531,1629.0921630859375,0.3928571343421936,220.0
57,0,10,3,0,-1.190859079360962,-161.06759643554688,347.0911560058594,1393.5196533203125,0.4107142984867096,220.0
57,0,10,3,1,-0.8784237504005432,-162.1529998779297,352.0295715332031,1632.22265625,0.3928571343421936,220.0
57,0,11,0,0,-4.538711071014404,-159.97415161132813,360.3805236816406,1778.8829345703125,0.4107142984867096,220.0
57,0,11,0,1,-1.3730517625808716,-156.00909423828125,336.43780517578125,1510.158447265625,0.3928571343421936,220.0
57,0,11,1,0,-5.215298175811768,-158.2898406982422,350.5393981933594,1906.3018798828125,0.41071704030036926,220.0
57,0,11,1,1,-1.6851140260696411,-156.06210327148438,336.6108093261719,1450.62841796875,0.3930073380470276,220.0
57,0,11,2,0,-4.864773273468018,-158.92681884765625,349.671875,1825.923583984375,0.4107142984867096,220.0
57,0,11,2,1,-1.7135378122329712,-154.4877471923828,333.9602355957031,1388.202392578125,0.3928571343421936,220.0
57,0,11,3,0,-4.56008243560791,-158.95645141601563,349.91778564453125,1550.1348876953125,0.41077274084091187,220.0
