board_id,fe_id,channel,tac,a,b,c,chi2,d,dof,e
57,0,0,0,0.00048682509805075824,0.18064026534557343,22.52346420288086,7724.9345703125,358.0555114746094,4380.0,96.43687438964844
57,0,0,1,0.0004949691938236356,0.18004292249679565,22.366512298583984,7364.65966796875,357.7698974609375,4373.0,96.95352935791016
57,0,0,2,0.0004849686229135841,0.1803135871887207,22.379798889160156,7311.0439453125,357.7890319824219,4371.0,97.15369415283203
57,0,0,3,0.000490628823172301,0.1795036941766739,22.290021896362305,7359.63232421875,357.9278564453125,4370.0,97.69257354736328
57,0,1,0,0.00043028208892792463,0.17442917823791504,23.81233024597168,5515.7744140625,366.1705322265625,4345.0,98.61747741699219
57,0,1,1,0.0004361704923212528,0.17486433684825897,23.56182289123535,5573.10791015625,365.9206237792969,4345.0,99.0865707397461
57,0,1,2,0.00043630224536173046,0.17525014281272888,23.46275520324707,5603.572265625,365.947021484375,4345.0,99.35013580322266
57,0,1,3,0.0004260308633092791,0.17329812049865723,23.662485122680664,5685.81982421875,366.0866394042969,4345.0,99.77312469482422
57,0,10,0,0.0002268847165396437,0.13494044542312622,22.62688636779785,12697.5615234375,375.67205810546875,4120.0,139.00588989257813
57,0,10,1,0.00022467545932158828,0.13432446122169495,22.6262264251709,12745.60546875,375.3256530761719,4120.0,139.52760314941406
57,0,10,2,0.00022047085803933442,0.13400666415691376,22.69095230102539,13344.2373046875,375.2471008300781,4120.0,139.82455444335938
57,0,10,3,0.0002218320732936263,0.1337439864873886,22.560077667236328,13640.0654296875,375.57891845703125,4115.0,140.71139526367188
57,0,11,0,0.00033898616675287485,0.18009209632873535,24.191556930541992,5661.77001953125,368.708984375,4345.0,97.6654052734375
57,0,11,1,0.00034105306258425117,0.17894423007965088,24.1784610748291,5556.29296875,368.4574890136719,4345.0,98.1086654663086
57,0,11,2,0.00032685601036064327,0.1774948537349701,24.452625274658203,5508.830078125,368.37158203125,4345.0,98.21856689453125
57,0,11,3,0.0003222113009542227,0.17699488997459412,24.399446487426758,5665.66259765625,368.62298583984375,4345.0,98.84541320800781
57,0,12,0,0.00032865290995687246,0.1570417881011963,22.729259490966797,5450.00244140625,355.44122314453125,4245.0,112.66633605957031
57,0,12,1,0.0003336757654324174,0.15746085345745087,22.490381240844727,5604.22607421875,355.0005187988281,4245.0,113.1591567993164
57,0,12,2,0.0003188655828125775,0.1552756279706955,22.900102615356445,5733.42724609375,355.04205322265625,4245.0,113.30951690673828
57,0,12,3,0.00032960125827230513,0.15596012771129608,22.52424430847168,5656.78125,355.1841735839844,4241.0,114.1000747680664
57,0,13,0,0.00043244624976068735,0.17509792745113373,23.751514434814453,5533.279296875,372.6615295410156,4345.0,99.43603515625
57,0,13,1,0.00043267651926726103,0.17591670155525208,23.507823944091797,5467.3505859375,372.55615234375,4345.0,99.89608001708984
